ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Account age,Is high risk
5008822,Male,Yes,Yes,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Yes,No,No,No,Laborers,2.0,-22.0,0
5008823,Male,Yes,Yes,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Yes,No,No,No,Laborers,2.0,-7.0,0
5008824,Male,Yes,Yes,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Yes,No,No,No,Laborers,2.0,-3.0,0
5008825,Female,Yes,No,0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669,-1103,Yes,No,No,No,Accountants,2.0,-25.0,0
5008826,Female,Yes,No,0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669,-1103,Yes,No,No,No,Accountants,2.0,-30.0,0
5008830,Female,No,Yes,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,Yes,No,Yes,No,Laborers,2.0,-31.0,0
5008831,Female,No,Yes,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,Yes,No,Yes,No,Laborers,2.0,-19.0,0
5008832,Female,No,Yes,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,Yes,No,Yes,No,Laborers,2.0,-34.0,0
5008834,Female,No,Yes,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,Yes,No,No,No,,2.0,-44.0,0
5008835,Female,No,Yes,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,Yes,No,No,No,,2.0,-44.0,0
5008836,Male,Yes,Yes,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,Yes,No,No,No,Laborers,5.0,-24.0,0
5008837,Male,Yes,Yes,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,Yes,No,No,No,Laborers,5.0,-18.0,0
5008838,Male,No,Yes,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Yes,No,No,No,Managers,3.0,-39.0,0
5008839,Male,No,Yes,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Yes,No,No,No,Managers,3.0,-13.0,0
5008840,Male,No,Yes,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Yes,No,No,No,Managers,3.0,-55.0,0
5008841,Male,No,Yes,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Yes,No,No,No,Managers,3.0,-4.0,0
5008842,Male,No,Yes,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Yes,No,No,No,Managers,3.0,-8.0,0
5008843,Male,No,Yes,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Yes,No,No,No,Managers,3.0,-29.0,0
5008844,Male,Yes,Yes,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Yes,No,Yes,No,Drivers,2.0,-43.0,0
5008846,Male,Yes,Yes,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Yes,No,Yes,No,Drivers,2.0,-11.0,0
5008847,Male,Yes,Yes,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Yes,No,Yes,No,Drivers,2.0,-46.0,0
5008849,Male,Yes,Yes,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Yes,No,Yes,No,Drivers,2.0,-51.0,0
5008850,Male,Yes,Yes,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Yes,No,Yes,No,Drivers,2.0,-25.0,0
5008851,Male,Yes,Yes,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Yes,No,Yes,No,Drivers,2.0,-11.0,0
5008852,Male,Yes,Yes,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Yes,No,Yes,No,Drivers,2.0,0.0,0
5008853,Male,Yes,Yes,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Yes,No,Yes,No,Drivers,2.0,-39.0,0
5008854,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-39.0,0
5008855,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-28.0,0
5008856,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-3.0,0
5008857,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-27.0,0
5008858,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-10.0,0
5008859,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-4.0,0
5008860,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-3.0,0
5008861,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-3.0,0
5008862,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-2.0,0
5008863,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-2.0,0
5008864,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-2.0,0
5008865,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-8.0,0
5008866,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-19.0,0
5008867,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-25.0,0
5112846,Female,Yes,Yes,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Yes,No,No,No,Laborers,4.0,-18.0,0
5008868,Female,No,Yes,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,Yes,No,No,No,Core staff,3.0,-24.0,0
5008870,Female,No,Yes,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,Yes,No,No,No,Core staff,3.0,-20.0,0
5008872,Male,Yes,Yes,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,Yes,No,Yes,No,Security staff,2.0,-10.0,0
5008873,Female,No,Yes,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Yes,No,No,Yes,Managers,4.0,-21.0,0
5008874,Female,No,Yes,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Yes,No,No,Yes,Managers,4.0,-45.0,0
5008875,Female,No,Yes,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Yes,No,No,Yes,Managers,4.0,-39.0,0
5008876,Female,No,Yes,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Yes,No,No,Yes,Managers,4.0,-43.0,0
5008877,Female,No,Yes,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Yes,No,No,Yes,Managers,4.0,-7.0,0
5008878,Female,No,Yes,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Yes,No,No,Yes,Managers,4.0,-43.0,0
5008879,Female,No,Yes,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Yes,No,No,Yes,Managers,4.0,-21.0,0
5008880,Female,No,Yes,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Yes,No,No,Yes,Managers,4.0,-10.0,0
5008881,Female,No,Yes,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Yes,No,No,Yes,Managers,4.0,-19.0,0
5008882,Female,No,Yes,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,Yes,No,No,Yes,Managers,4.0,-45.0,0
5008884,Female,No,Yes,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186,365243,Yes,No,No,No,,1.0,-40.0,0
5008888,Female,No,Yes,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,Yes,No,No,No,Core staff,1.0,-11.0,0
5008889,Female,No,Yes,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,Yes,No,No,No,Core staff,1.0,-4.0,0
5008890,Female,No,Yes,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,Yes,No,No,No,Core staff,1.0,-48.0,0
5112847,Female,No,Yes,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,Yes,No,No,No,Core staff,1.0,-25.0,0
5008891,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-7.0,0
5008892,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-37.0,0
5008893,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-36.0,0
5008894,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-36.0,0
5008895,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-34.0,0
5008896,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-34.0,0
5008897,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-32.0,0
5008898,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-31.0,0
5008899,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-30.0,0
5008900,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-29.0,0
5008901,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-27.0,0
5008902,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-27.0,0
5008903,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-27.0,0
5008904,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-26.0,0
5008905,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-25.0,0
5008906,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-24.0,0
5008907,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-23.0,0
5008908,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-22.0,0
5008909,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-22.0,0
5008910,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-21.0,0
5008911,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-21.0,0
5008912,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-20.0,0
5008913,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-19.0,0
5008914,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-18.0,0
5008915,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-18.0,0
5008916,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-17.0,0
5008917,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-17.0,0
5008918,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-16.0,0
5008919,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-15.0,0
5008920,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-15.0,0
5008921,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-13.0,0
5008922,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-13.0,0
5008923,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-12.0,0
5008924,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-12.0,0
5008925,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-12.0,0
5008926,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-11.0,0
5008927,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-9.0,0
5008928,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-9.0,0
5008929,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-7.0,0
5008930,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-6.0,0
5008931,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-5.0,0
5008932,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-5.0,0
5008933,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-5.0,0
5008934,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-4.0,0
5008935,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-4.0,0
5008936,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-3.0,0
5008937,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-1.0,0
5008938,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-1.0,0
5008939,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,0.0,0
5008940,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-1.0,0
5008941,Female,No,Yes,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,Yes,No,No,No,Laborers,1.0,-7.0,0
5008942,Female,No,No,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,Yes,No,Yes,No,High skill tech staff,2.0,-43.0,0
5008943,Female,No,No,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,Yes,No,Yes,No,High skill tech staff,2.0,-14.0,0
5008944,Female,No,No,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,Yes,No,Yes,No,High skill tech staff,2.0,-23.0,0
5008945,Female,No,No,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,Yes,No,Yes,No,High skill tech staff,2.0,-30.0,0
5008946,Female,No,No,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,Yes,No,Yes,No,High skill tech staff,2.0,-48.0,0
5008947,Male,No,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Yes,Yes,Yes,No,Drivers,2.0,-12.0,0
5008948,Male,No,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Yes,Yes,Yes,No,Drivers,2.0,-17.0,0
5008949,Male,No,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Yes,Yes,Yes,No,Drivers,2.0,0.0,0
5008950,Male,No,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,Yes,Yes,Yes,No,Drivers,2.0,-12.0,0
5008951,Male,No,Yes,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,Yes,No,No,No,,3.0,-45.0,0
5008952,Male,No,Yes,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,Yes,No,No,No,,3.0,-54.0,0
5008953,Male,No,Yes,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,Yes,No,No,No,,3.0,-27.0,0
5008954,Male,No,Yes,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,Yes,No,No,No,,3.0,-5.0,0
5008955,Female,Yes,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Yes,No,No,No,Laborers,2.0,-4.0,0
5008956,Female,Yes,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Yes,No,No,No,Laborers,2.0,-39.0,0
5008957,Female,Yes,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Yes,No,No,No,Laborers,2.0,-51.0,0
5008958,Female,Yes,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Yes,No,No,No,Laborers,2.0,-3.0,0
5008959,Female,Yes,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Yes,No,No,No,Laborers,2.0,-15.0,0
5008960,Female,Yes,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Yes,No,No,No,Laborers,2.0,-28.0,0
5008962,Female,Yes,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Yes,No,No,No,Laborers,2.0,-26.0,0
5008963,Female,Yes,Yes,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17785,-1712,Yes,No,No,No,Laborers,2.0,-38.0,0
5008966,Male,No,Yes,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,Yes,No,Yes,No,,2.0,-15.0,0
5008967,Male,No,Yes,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,Yes,No,Yes,No,,2.0,-21.0,0
5008971,Male,No,Yes,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,Yes,No,Yes,No,,2.0,-55.0,0
5008973,Male,No,Yes,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16027,-889,Yes,No,Yes,No,,2.0,-4.0,0
5008974,Female,No,Yes,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,Yes,No,No,No,,2.0,-49.0,0
5008975,Female,No,Yes,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,Yes,No,No,No,,2.0,-49.0,0
5008976,Female,No,Yes,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,Yes,No,No,No,,2.0,-1.0,0
5008977,Female,No,Yes,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,Yes,No,No,No,,2.0,-23.0,0
5008978,Female,No,Yes,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,Yes,No,No,No,,2.0,-38.0,0
5008979,Female,No,Yes,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,Yes,No,No,No,,2.0,-37.0,0
5008980,Female,No,Yes,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22319,365243,Yes,No,No,No,,2.0,-58.0,0
5008981,Male,Yes,Yes,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Yes,No,Yes,No,Drivers,2.0,-10.0,0
5008983,Male,Yes,Yes,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Yes,No,Yes,No,Drivers,2.0,-58.0,0
5008984,Male,Yes,Yes,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Yes,No,Yes,No,Drivers,2.0,-58.0,0
5008986,Male,Yes,Yes,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Yes,No,Yes,No,Drivers,2.0,-10.0,0
5008987,Male,Yes,Yes,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Yes,No,Yes,No,Drivers,2.0,-10.0,0
5008988,Male,Yes,Yes,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,-20874,-2381,Yes,No,Yes,No,Drivers,2.0,-16.0,0
5008991,Female,Yes,Yes,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Yes,Yes,Yes,No,Cleaning staff,1.0,-30.0,0
5008992,Female,Yes,Yes,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Yes,Yes,Yes,No,Cleaning staff,1.0,-6.0,0
5008993,Female,Yes,Yes,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Yes,Yes,Yes,No,Cleaning staff,1.0,-17.0,0
5008994,Female,Yes,Yes,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Yes,Yes,Yes,No,Cleaning staff,1.0,-19.0,0
5008995,Female,Yes,Yes,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Yes,Yes,Yes,No,Cleaning staff,1.0,-28.0,0
5112861,Female,Yes,Yes,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,-16582,-1194,Yes,Yes,Yes,No,Cleaning staff,1.0,-21.0,0
5008998,Female,Yes,Yes,0,270000.0,Working,Higher education,Married,House / apartment,-10628,-828,Yes,No,No,Yes,Managers,2.0,-4.0,0
5008999,Female,Yes,Yes,0,270000.0,Working,Higher education,Married,House / apartment,-10628,-828,Yes,No,No,Yes,Managers,2.0,-24.0,0
5009000,Male,Yes,Yes,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-9927,-828,Yes,No,No,No,Drivers,2.0,-22.0,0
